Division,Team,Blog Name,URL,Network Type,Picks Format,Spread Picks,O/U Picks,Weekly Column,RSS Available,Scraping Priority,URL Pattern for Picks,Notes
AFC East,Bills,Buffalo Rumblings,buffalorumblings.com,SB Nation,Staff Picks,Yes,Yes,Yes,Yes,Tier 1,/buffalo-bills-odds/,Structured weekly picks column
AFC East,Bills,Two Bills Drive,twobillsdrive.com,Independent,Forum,Community,Community,No,No,Tier 3,/community/,Fan forum predictions
AFC East,Bills,Buffalo Wdown,buffalowdown.com,FanSided,Articles,Sometimes,Sometimes,No,Yes,Tier 2,,Weekly analysis
AFC East,Dolphins,The Phinsider,thephinsider.com,SB Nation,Staff Picks,Yes,Yes,Yes,Yes,Tier 2,/miami-dolphins-odds/,Weekly picks
AFC East,Dolphins,Phin Phanatic,phinphanatic.com,FanSided,Articles,Sometimes,Sometimes,No,Yes,Tier 3,,Weekly analysis
AFC East,Patriots,Pats Pulpit,patspulpit.com,SB Nation,Staff Picks,Yes,Yes,Yes,Yes,Tier 2,/new-england-patriots-odds/,Game predictions
AFC East,Patriots,PatsFans.com,patsfans.com,Independent,Forum/Blog,Community,Community,Yes,No,Tier 2,/patriots/blog/,"Large community, weekly analysis"
AFC East,Patriots,Musket Fire,musketfire.com,FanSided,Articles,Sometimes,Sometimes,No,Yes,Tier 3,,Weekly analysis
AFC East,Jets,Gang Green Nation,ganggreennation.com,SB Nation,Staff Picks,Yes,Yes,Yes,Yes,Tier 2,/new-york-jets-odds/,Weekly picks
AFC East,Jets,The Jet Press,thejetpress.com,FanSided,Articles,Sometimes,Sometimes,No,Yes,Tier 3,,Weekly analysis
AFC North,Ravens,Baltimore Beatdown,baltimorebeatdown.com,SB Nation,Odds Column,Yes,Yes,Yes,Yes,Tier 1,/baltimore-ravens-odds/,Weekly betting preview
AFC North,Ravens,Ebony Bird,ebonybird.com,FanSided,Articles,Sometimes,Sometimes,No,Yes,Tier 3,,Weekly analysis
AFC North,Bengals,Cincy Jungle,cincyjungle.com,SB Nation,Staff Picks,Yes,Yes,Yes,Yes,Tier 2,/cincinnati-bengals-odds/,Game predictions
AFC North,Bengals,Stripe Hype,stripehype.com,FanSided,Articles,Sometimes,Sometimes,No,Yes,Tier 3,,Weekly analysis
AFC North,Browns,Dawgs By Nature,dawgsbynature.com,SB Nation,Odds Column,Yes,Yes,Yes,Yes,Tier 2,/cleveland-browns-betting-odds/,Weekly betting angles
AFC North,Browns,Dawg Pound Daily,dawgpounddaily.com,FanSided,Articles,Sometimes,Sometimes,No,Yes,Tier 3,,Weekly analysis
AFC North,Steelers,Behind the Steel Curtain,behindthesteelcurtain.com,SB Nation,Staff Picks,Yes,Yes,Yes,Yes,Tier 2,/pittsburgh-steelers-odds/,Weekly picks
AFC North,Steelers,Steel Curtain Rising,steelcurtainrising.com,Independent,Analysis,Yes,Sometimes,Yes,No,Tier 2,,In-depth predictions
AFC North,Steelers,Still Curtain,stillcurtain.com,FanSided,Articles,Sometimes,Sometimes,No,Yes,Tier 3,,Weekly analysis
AFC South,Texans,Battle Red Blog,battleredblog.com,SB Nation,Staff Picks,Yes,Yes,Yes,Yes,Tier 2,/houston-texans-odds/,Game previews
AFC South,Texans,Toro Times,torotimes.com,FanSided,Articles,Sometimes,Sometimes,No,Yes,Tier 3,,Weekly analysis
